City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,299.18,89,75,7.2,CK,1714753185
1,adamstown,-25.066,-130.1015,293.52,60,16,6.56,PN,1714753185
2,port-aux-francais,-49.35,70.2167,276.51,65,48,16.08,TF,1714753185
3,crane,31.3974,-102.3501,299.55,57,17,7.18,US,1714752977
4,lompoc,34.6391,-120.4579,290.33,89,100,2.06,US,1714752977
5,beyneu,45.3167,55.2,292.92,29,100,2.6,KZ,1714752977
6,college,64.8569,-147.8028,277.14,61,40,2.06,US,1714752977
7,west island,-12.1568,96.8225,301.14,83,100,5.66,CC,1714753185
8,whitehorse,60.7161,-135.0538,279.32,50,28,1.34,CA,1714752978
9,tromso,69.6496,18.957,279.16,81,75,6.69,NO,1714752978
10,puerto natales,-51.7236,-72.4875,277.4,93,100,1.54,CL,1714752978
11,petukhovo,55.0692,67.9019,283.15,53,100,4.8,RU,1714753185
12,myeik,12.4333,98.6,302.09,72,99,1.03,MM,1714753185
13,conceicao da barra,-18.5933,-39.7322,305.24,51,10,4.02,BR,1714753185
14,aasiaat,68.7098,-52.8699,265.38,76,75,2.79,GL,1714753185
15,edinburgh of the seven seas,-37.0676,-12.3116,289.39,93,100,20.23,SH,1714752978
16,albany,42.6001,-73.9662,292.94,55,100,1.34,US,1714752972
17,kapa'a,22.0752,-159.319,296.54,82,75,8.75,US,1714753186
18,ust-nera,64.5667,143.2,268.9,97,99,2.58,RU,1714752978
19,port mathurin,-19.6833,63.4167,299.57,81,56,7.08,MU,1714753186
20,ilulissat,69.2167,-51.1,268.16,74,75,4.63,GL,1714752978
21,waitangi,-43.9535,-176.5597,281.94,82,93,1.79,NZ,1714752978
22,connell,46.6635,-118.8611,287.46,62,3,0.45,US,1714753186
23,ribeira grande,38.5167,-28.7,291.37,94,75,8.94,PT,1714753186
24,bridgewater,44.3835,-64.5155,288.94,68,77,4.63,CA,1714753038
25,lihue,21.9789,-159.3672,296.13,78,75,8.75,US,1714753186
26,yakeshi,49.2833,120.7333,285.6,28,100,10.76,CN,1714752978
27,palikir - national government center,6.9248,158.1611,300.56,78,100,3.6,FM,1714752978
28,north bend,43.4065,-124.2243,284.41,87,100,4.63,US,1714752978
29,ushuaia,-54.8,-68.3,279.94,99,97,1.25,AR,1714752903
30,casper,42.8666,-106.3131,274.11,94,100,5.14,US,1714753067
31,georgetown,5.4112,100.3354,303.68,89,40,3.6,MY,1714753186
32,margaret river,-33.95,115.0667,289.5,77,86,4.73,AU,1714752979
33,port lincoln,-34.7333,135.8667,287.05,79,0,2.35,AU,1714753186
