City_ID,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,78.93,71,8,21.41,MU,1714919072
1,callao,-12.0667,-77.15,76.71,88,100,4.61,PE,1714919072
2,broome,42.2506,-75.833,50.9,94,100,11.5,US,1714919072
3,jiwani,25.05,61.7417,85.19,61,0,23.04,PK,1714919059
4,papatowai,-46.5619,169.4708,43.14,89,80,9.51,NZ,1714919072
5,jinxiang,27.4327,120.6062,69.22,97,30,3.36,CN,1714919072
6,dudinka,69.4058,86.1778,16.68,87,36,5.99,RU,1714919072
7,waitangi,-43.9535,-176.5597,51.82,94,100,8.01,NZ,1714919072
8,buala,-8.145,159.5921,81.66,84,100,4.81,SB,1714919072
9,hawaiian paradise park,19.5933,-154.9731,69.03,97,100,10.36,US,1714919072
10,poronaysk,49.2167,143.1167,33.08,100,100,6.85,RU,1714919072
11,kharp,66.8014,65.8081,22.71,87,53,6.96,RU,1714919072
12,lihue,21.9789,-159.3672,72.99,79,100,20.71,US,1714919072
13,gannan,47.9147,123.5031,54.12,35,100,9.15,CN,1714918991
14,camalu,30.85,-116.0667,57.06,87,4,8.7,MX,1714919072
15,carnarvon,-24.8667,113.6333,71.73,69,0,21.3,AU,1714919072
16,san antonio de pale,-1.4014,5.6325,82.94,81,25,8.28,GQ,1714919072
17,utrik,11.2278,169.8474,80.56,83,100,16.51,MH,1714919072
18,zeya,53.75,127.2667,45.48,57,71,3.85,RU,1714919072
19,ust-tsilma,65.441,52.1498,29.61,78,100,5.01,RU,1714919072
20,iqaluit,63.7506,-68.5145,24.53,79,100,12.66,CA,1714919072
21,margaret river,-33.95,115.0667,60.33,80,79,7.72,AU,1714919072
22,whitehorse,60.7161,-135.0538,45.37,47,100,4.61,CA,1714919073
23,isla mujeres,21.2311,-86.731,84.25,73,2,15.05,MX,1714919073
24,villa gesell,-37.2639,-56.973,64.06,93,100,3.53,AR,1714919016
25,minas de marcona,-15.2119,-75.1103,65.66,72,40,7.81,PE,1714919073
26,aasiaat,68.7098,-52.8699,16.27,80,41,4.16,GL,1714919073
27,kodiak,57.79,-152.4072,36.91,87,100,8.05,US,1714919073
28,puerto ayora,-0.7393,-90.3518,76.96,96,92,7.0,EC,1714919073
29,adamstown,-25.066,-130.1015,70.11,66,100,18.61,PN,1714919073
30,codrington,-38.2667,141.9667,55.13,81,16,11.95,AU,1714919073
31,najran,17.4924,44.1277,84.85,19,70,11.36,SA,1714919073
32,newman,37.3138,-121.0208,48.25,89,76,1.99,US,1714919073
33,ciudad lazaro cardenas,17.9583,-102.2,77.49,57,93,2.42,MX,1714919073
34,turpan,42.9333,89.1667,89.33,6,0,5.41,CN,1714919073
35,san luis de la loma,17.2706,-100.8939,81.32,63,6,1.52,MX,1714919073
36,petropavlovsk-kamchatsky,53.0452,158.6483,33.78,78,40,8.01,RU,1714919073
37,anadyr,64.75,177.4833,10.9,79,0,11.18,RU,1714919073
38,north battleford,52.7834,-108.2847,43.41,87,0,13.8,CA,1714918795
39,hadibu,12.65,54.0333,87.53,72,95,2.21,YE,1714919073
40,calama,-22.4667,-68.9333,63.09,7,0,13.8,CL,1714919073
41,puerto natales,-51.7236,-72.4875,34.25,64,40,4.61,CL,1714919073
42,edinburgh of the seven seas,-37.0676,-12.3116,56.61,65,97,27.65,SH,1714919073
43,maralal,1.0968,36.698,68.88,68,100,1.14,KE,1714919073
44,okha,53.5739,142.9478,31.24,80,8,7.0,RU,1714919074
45,toliara,-23.35,43.6667,79.02,64,0,8.81,MG,1714919074
